Source;Target
10239;3
4544;3
4494;3
6226;3
7092;4
17607;4
7544;9
18834;9
20572;9
13788;10
15251;11
13117;11
18834;11
15251;12
7544;12
18834;12
20572;12
15439;14
10396;14
10458;14
14988;14
4494;14
13117;14
6226;14
18997;14
15251;14
18834;15
10813;16
549;18
7544;20
7572;20
10396;20
18834;20
20572;20
15251;21
10396;21
10813;21
10441;21
10396;22
14102;22
18834;22
18824;22
7092;23
15718;23
20572;23
10813;24
20572;24
4544;26
10239;26
14504;26
16054;26
16696;26
18995;26
18997;26
19768;26
14877;27
15251;27
18280;28
19329;28
7434;28
19248;28
6893;28
9216;28
7746;28
7092;28
7717;28
14504;28
17513;28
19908;28
15047;28
20572;28
18834;28
10813;28
16197;28
10330;28
10396;29
10441;29
9278;31
7092;33
10396;33
8917;33
9185;34
10181;34
10239;34
10813;34
12592;34
17513;34
19696;34
19768;34
17607;35
7092;35
7608;35
2902;35
17715;35
5138;35
15970;35
18834;36
19152;36
15450;36
15251;37
11889;37
18145;37
14600;37
20195;37
13788;37
7572;37
15235;37
10441;37
13117;37
7544;40
7572;40
18834;40
20572;40
7092;41
7572;41
4544;42
8253;42
9185;42
10239;42
10159;42
20546;42
19696;42
19768;42
19776;42
14504;42
16054;42
20572;42
21437;43
13614;43
12237;43
13823;43
10813;43
3832;43
16664;43
2517;43
7094;43
9012;43
15251;43
10813;44
18834;44
7092;44
13823;44
15251;46
4720;46
4544;48
7092;48
11017;48
11889;48
18834;48
17098;48
18834;49
4544;49
15607;49
18550;49
7544;50
20572;50
2590;51
7092;51
7340;51
9589;51
12516;51
13253;51
14504;51
16054;51
17098;51
2404;52
3731;52
8129;52
15386;52
18834;52
20572;52
8232;53
18997;53
16076;53
9369;53
15329;53
5945;54
18135;54
4544;55
7092;55
7603;55
10239;55
14504;55
16054;55
10396;56
7092;56
7603;56
7608;56
12325;57
4544;57
18997;57
15450;57
15439;57
16054;57
19696;57
21216;57
2453;57
3832;59
16664;59
13823;61
4544;61
7092;61
16644;61
21437;61
7544;61
14746;62
18997;63
15251;64
2946;64
14982;64
13117;64
8232;65
8234;65
15414;65
16696;65
19950;65
7544;66
18834;66
8253;66
8253;68
19566;68
12762;69
18834;69
15251;70
18550;70
10396;70
10813;70
18647;72
4544;72
9185;72
13121;72
15439;72
3731;72
10159;72
20232;72
16054;72
7572;73
20572;73
3782;73
10813;73
8253;74
9185;74
10398;75
10459;75
671;75
20319;78
21437;78
17339;78
13117;78
15752;80
188;80
13859;80
10240;81
4544;81
14504;81
15439;81
18997;81
8267;81
7544;83
18834;83
13823;83
20572;83
8253;83
21437;84
10396;86
10813;87
18997;87
18995;87
19950;87
19613;87
20572;87
14289;87
21291;87
21293;87
12777;87
6693;88
18834;88
20572;88
21437;89
3237;89
3238;89
4544;89
11017;89
2524;90
3731;90
4172;90
4173;90
5790;90
7092;90
7544;90
7572;90
9369;90
15439;90
15718;90
16105;90
16705;90
17098;90
18834;90
18995;90
18997;90
19202;90
20572;90
46;91
4544;91
8669;91
19152;91
18834;91
19768;91
7698;92
14102;92
7048;92
3846;93
4544;93
6117;93
6223;93
7092;93
7417;93
8145;93
10159;93
10239;93
11363;93
13198;93
13614;93
13823;93
15408;93
16105;93
16664;93
17607;93
17639;93
17642;93
17643;93
17652;93
17667;93
18997;93
19768;93
21437;93
4544;94
6893;94
7056;94
7340;94
8253;94
10159;94
16054;94
19696;94
18038;94
21293;94
18834;95
13117;95
10396;95
15251;96
8004;96
9741;96
12516;96
10813;96
10396;96
15295;96
3731;97
7092;97
13238;98
10458;99
3731;99
20577;99
4544;100
7092;100
19768;100
10159;100
10239;100
10813;100
4107;100
4544;102
7092;102
10159;102
15439;102
19768;102
18834;103
7544;103
5549;103
18824;104
12242;104
9884;104
10239;104
3731;104
7092;104
9369;104
18834;105
10159;106
4544;106
10239;106
3388;106
14504;106
19696;106
10159;107
4544;107
7092;107
19696;107
16054;107
7340;107
14504;107
17098;107
7726;107
13064;107
15478;107
6775;107
15439;107
19768;107
20688;107
8563;108
5930;108
13788;108
19950;108
7603;108
7572;108
7544;108
8253;109
9185;109
16508;109
16613;109
15746;109
21345;109
6228;110
10441;110
10813;110
18834;110
14833;111
10813;113
19768;113
4544;113
3088;113
15718;114
14102;114
7544;115
18834;115
10088;115
15251;116
512;117
617;117
6198;117
6226;117
7544;117
12325;117
13117;117
18834;117
19944;117
20489;117
20572;117
18834;118
12828;118
16344;118
16360;118
14102;119
18834;119
18495;120
21273;120
4494;120
6226;120
4544;121
9835;121
14504;121
4494;122
5578;122
6226;122
13117;122
13253;122
18834;122
15251;123
17607;123
14102;123
10813;123
3796;123
13778;123
549;124
7092;124
17607;124
13604;124
10396;125
10441;125
15251;125
15251;127
15860;127
14943;128
10813;129
18834;130
13117;130
20572;130
11062;131
4780;131
2930;131
13530;131
4494;131
20572;131
14741;131
14163;131
13273;131
6226;131
12325;131
14988;131
10813;132
18834;132
18419;132
18422;132
10441;132
2798;132
11889;132
10562;132
13117;132
7544;133
9559;133
18834;133
15251;134
20157;134
2105;135
2564;135
4780;135
18834;135
10396;135
11940;136
136;137
136;138
3832;139
10813;139
136;139
11940;139
16809;140
18834;140
18834;141
11889;141
7092;142
10239;142
15235;142
10231;142
21389;142
286;144
19152;144
16388;144
4544;145
18997;145
16696;145
14504;145
3581;146
15638;146
4662;146
11014;146
17607;146
17667;146
15023;146
16105;146
16833;146
20572;146
21293;146
17607;147
11014;147
16696;147
17653;147
18997;147
4544;147
19696;147
21345;147
16105;147
6396;147
4662;147
4544;148
14504;148
16054;148
18834;148
19696;148
20572;148
1266;149
18550;151
2913;151
7276;151
20322;151
7603;152
18834;152
7572;152
7544;154
7572;154
10813;154
18834;154
20572;154
10396;154
13673;154
18280;154
15251;154
7544;155
7572;155
9559;155
18834;155
19438;155
20572;155
2913;156
7544;156
9369;156
10089;156
13117;156
13122;156
16344;156
18011;156
20572;157
18834;157
7572;157
10396;157
8520;157
549;157
17607;157
7092;157
17471;157
13117;157
1721;157
15718;157
4544;157
20711;157
154;158
7544;158
7603;158
9281;158
9559;158
9562;158
10813;158
15235;158
18280;158
18834;158
7544;159
7572;159
18834;159
7544;160
7572;160
18834;160
7544;161
7572;161
20572;161
20572;162
7544;162
7572;162
18834;162
13590;163
549;163
157;163
7544;164
10396;164
9185;164
20585;164
20572;164
17667;164
17607;164
802;164
17567;164
2012;164
4544;164
15439;164
16054;164
19768;164
7877;164
18834;164
17722;164
6669;164
19469;164
4544;165
10239;165
4720;165
13117;165
14102;165
10813;167
18834;167
7544;167
154;169
158;169
163;169
18280;169
18454;169
9559;169
10813;169
7572;169
7544;169
10396;169
18834;169
20572;169
17607;169
20711;169
10813;170
18834;170
7572;170
3558;170
7092;170
7110;170
17098;170
9554;170
6223;170
6494;170
14102;170
14292;170
15386;170
10813;171
9185;172
15251;174
523;174
19768;174
4544;174
